Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %,Minutes played,Age
Pharco FC,Yassin Marei,6.66,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,22
Al-Ittihad Alexandria,Mostafa Ibrahim,6.66,0,0,1,33.33,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,23
Ghazl El Mahalla,Ahmed Reda,6.65,0,0,5,50,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,20
Al Ahly FC,Ahmed Ashraf Ahmed,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,23
Smouha,El Sabahy Emad,6.63,0,0,1,50,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,22
Smouha,Mohamed El-Maghrabi,6.63,0,1,4,57.14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,22
Haras El Hedoud,Mahmoud Mamdouh,6.63,2,2,11,37.93,14,8,2,4,14.29,0,0,0,0,0,2,0,1,0,1,0,4,0,0,813,22
Tala'ea El-Gaish,Paul Joules,6.6,2,0,4,80,11,7,3,1,18.18,0,0,0,0,0,2,0,0,0,2,0,9,0,0,495,20
Ismaily,Khaled Alnabrisi,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20
Ismaily,Abdoul Kader Coulibaly,6.6,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22
Al-Mokawloon,El Habib Ahmed Hassan,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22
Pharco FC,Mahmoud Gehad,6.6,0,0,3,60,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,22
ENPPI,Salah Zayed,6.6,0,0,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,23
Smouha,Mohamed Saeed,6.59,0,1,11,45.83,18,8,6,4,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1455,21
Al Ahly FC,Mohamed Dhaoui,6.59,0,0,4,25,7,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,297,20
Smouha,Zeyad Tarek,6.58,0,1,3,60,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148,23
Al-Masry,Franck Mbella Etouga,6.58,2,4,5,62.5,18,8,8,2,11.11,0,0,0,0,0,2,0,0,0,2,3,3,0,0,576,22
Zamalek SC,Youssef Hassan,6.58,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,20
Tala'ea El-Gaish,Arabi Badr,6.57,1,0,3,100,3,1,1,1,33.33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,264,22
Smouha,Abubakar Liday,6.56,0,0,8,57.14,8,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,356,21
Aswan SC,Omar Saoudi,6.55,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,21
Tala'ea El-Gaish,Fares Hatem,6.55,0,0,1,100,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21
Al-Ittihad Alexandria,Abdelghani Mohamed,6.54,0,1,13,48.15,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,624,22
Al-Ittihad Alexandria,Ahmed Eid,6.52,2,1,6,24,13,5,5,3,15.38,0,0,0,0,0,2,0,0,0,2,1,3,0,0,841,23
Pharco FC,Ziad Tolba,6.52,0,0,1,25,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,22
Al Ahly FC,Mohamed Zaalouk,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
Ismaily,Eiad El Askalany,6.5,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,19
Ghazl El Mahalla,Mohamed Nabih,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18
Al-Ittihad Alexandria,Ahmed Hamdeen,6.5,0,0,2,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23
Haras El Hedoud,Salisu Mobarak,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21
Al-Masry,Islam El Mizzayn,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,22
Haras El Hedoud,Momen Awad,6.5,0,0,2,33.33,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,894,22
ENPPI,Ahmed Nader Hawash,6.47,1,0,5,25,7,2,4,1,14.29,0,0,0,1,0,1,0,0,1,0,0,2,0,0,396,20
ENPPI,Ahmed Nader Hawash,6.47,1,0,5,25,7,2,4,1,14.29,0,0,0,1,0,1,0,0,1,0,0,2,0,0,396,21
Al Ahly FC,Rafaat Khalil,6.46,0,1,2,40,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,192,20
Smouha,Rida El Barjiji,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22
Al-Mokawloon,Mohamed Abdelnasser,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17
Al-Ittihad Alexandria,Mohamed Fares,6.34,0,0,0,0,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,21
Smouha,Ahmed Ali Amin,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
Pharco FC,Marwan Magdy,6.22,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,20
Al-Ittihad Alexandria,Ahmed Bahaa,5.82,0,0,2,33.33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,21
Modern Future FC,Mohamed Tarek,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Ghazl El Mahalla,Atef Al Hakim,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19
